PlayerId,Name,Gender,Country,Rank,CareerTitles,CareerPrizeMoney
ATPBD06,Roberto Bautista Agut,Male,Spain,51,12,18804089
ATPBG23,Nikoloz Basilashvili,Male,Georgia,210,5,8809902
ATPBK40,Matteo Berrettini,Male,Italy,35,10,12492144
ATPBK92,Alexander Bublik,Male,Kazakhstan,33,4,7634978
ATPCD85,Pablo Carreno Busta,Male,Spain,184,7,15874019
ATPCF59,Roberto Carballes Baena,Male,Spain,59,2,5317867
ATPCG80,Borna Coric,Male,Croatia,88,3,12714415
ATPD643,Novak Djokovic,Male,Serbia,7,99,185541164
ATPD875,Grigor Dimitrov,Male,Bulgaria,10,9,29075508
ATPD923,Damir Dzumhur,Male,Bosnia and Herzegovina,83,3,5191476
ATPDA81,Taro Daniel,Male,Japan,84,1,4547839
ATPF510,Fabio Fognini,Male,Italy,89,9,18839820
ATPFB98,Taylor Fritz,Male,United States of America,4,8,23346252
ATPGB88,David Goffin,Male,Belgium,53,6,17997945
ATPH997,Yannick Hanfmann,Male,Germany,98,0,3231157
ATPHB64,Quentin Halys,Male,France,71,0,3287817
ATPJ551,Nicolas Jarry,Male,Chile,34,3,6621179
ATPKE17,Nick Kyrgios,Male,Australia,1271,7,12494766
ATPKE29,Karen Khachanov,Male,,19,7,18239247
ATPL987,Dusan Lajovic,Male,Serbia,75,2,9735759
ATPMC65,Gael Monfils,Male,France,52,12,23295060
ATPME82,Adrian Mannarino,Male,France,73,5,13056025
ATPMJ08,Thiago Monteiro,Male,Brazil,106,0,3957219
ATPMM58,Daniil Medvedev,Male,,5,20,45126978
ATPN552,Kei Nishikori,Male,Japan,74,12,25710357
ATPN732,Yoshihito Nishioka,Male,Japan,63,3,6551286
ATPN771,Cameron Norrie,Male,United Kingdom,48,5,11472429
ATPPF39,Lucas Pouille,Male,France,104,5,8693598
ATPRE44,Andrey Rublev,Male,,9,16,27465506
ATPRH16,Casper Ruud,Male,Norway,6,12,22682369
ATPSL28,Jan-Lennard Struff,Male,Germany,42,1,10971031
ATPSU55,Denis Shapovalov,Male,Canada,58,2,12235848
ATPTC61,Jordan Thompson,Male,Australia,27,1,8043810
ATPTD51,Frances Tiafoe,Male,United States of America,17,3,13352004
ATPTE51,Stefanos Tsitsipas,Male,Greece,11,11,33254721
ATPW367,Stan Wawrinka,Male,Switzerland,158,16,37287773
ATPZ355,Alexander Zverev,Male,Germany,2,23,50548001
ATPAE14,Daniel Altmaier,Male,Germany,93,0,3313814
ATPAG37,Felix Auger-Aliassime,Male,Canada,29,5,14201813
ATPB0BI,Sebastian Baez,Male,Argentina,28,6,4378610
ATPB0CD,Jenson Brooksby,Male,United States of America,466,0,2035768
ATPBM95,Benjamin Bonzi,Male,France,70,1,2942196
ATPBT72,Nuno Borges,Male,Portugal,36,1,2615540
ATPBU13,Zizou Bergs,Male,Belgium,66,0,1488714
ATPC0AU,Francisco Cerundolo,Male,Argentina,31,3,5934344
ATPC0DF,Francisco Comesana,Male,Argentina,85,0,788573
ATPCE77,Federico Coria,Male,Argentina,97,0,3095362
